File_Path,RelevanceId,RelevanceName
azure_cost_alerts,4,Medium-Low
azure_sendgrid_accounts,3,Medium
azure_power_up,5,Low
azure_managed_redis,2,Medium-High
azure_spring_apps,2,Medium-High
azure_communications_gateway,4,Medium-Low
azure_operator_insights,5,Low
azure_storage_azure_files,2,Medium-High
azure_subscriptions,2,Medium-High
azure_disks_snapshots,3,Medium
azure_users,2,Medium-High
azure_central_service_instance_for_sap,4,Medium-Low
azure_biz_talk,4,Medium-Low
azure_app_space,3,Medium
azure_toolbox,5,Low
azure_ssis_lift_and_shift_ir,4,Medium-Low
azure_security_baselines,3,Medium
azure_storage_actions,4,Medium-Low
azure_cost_management_and_billing,3,Medium
azure_managed_database,2,Medium-High
azure_databricks,1,High
azure_tenant_status,4,Medium-Low
azure_video_indexer,3,Medium
azure_load_test,3,Medium
azure_disks,2,Medium-High
azure_globe_success,5,Low
azure_iot_central_applications,3,Medium
azure_connected_cache,4,Medium-Low
azure_aks_istio,3,Medium
azure_bare_metal_infrastructure,4,Medium-Low
azure_resource_graph_explorer,4,Medium-Low
azure_center_for_sap,4,Medium-Low
azure_orbital,5,Low
azure_api_connections,2,Medium-High
azure_defender_engineering_station,4,Medium-Low
azure_management_portal,4,Medium-Low
azure_marketplace,3,Medium
azure_exchange_access,4,Medium-Low
azure_entra_identity_licenses,3,Medium
azure_code_optimization,4,Medium-Low
azure_network_interfaces,2,Medium-High
azure_managed_applications_center,3,Medium
azure_notification_hub_namespaces,3,Medium
azure_virtual_clusters,3,Medium
azure_dns_zones,2,Medium-High
azure_arc_sql_managed_instance,3,Medium
azure_service_fabric_clusters,3,Medium
azure_public_ip_addresses_(classic),3,Medium
azure_arc_postgresql,3,Medium
azure_web_app_+_database,2,Medium-High
azure_file,2,Medium-High
azure_media_file,3,Medium
azure_red_hat_openshift,3,Medium
azure_files,2,Medium-High
azure_support_center_blue,5,Low
azure_collaborative_service,4,Medium-Low
azure_device_enrollment,4,Medium-Low
azure_preview_features,5,Low
azure_operator_service_manager,4,Medium-Low
azure_container_apps_environments,2,Medium-High
azure_bot_services,3,Medium
azure_object_understanding,4,Medium-Low
azure_cognitive_services_decisions,3,Medium
azure_app_compliance_automation,4,Medium-Low
azure_software_updates,4,Medium-Low
azure_entra_connect_health,3,Medium
azure_applied_ai_services,2,Medium-High
azure_disk_encryption_sets,3,Medium
azure_vpnclientwindows,4,Medium-Low
azure_devtest_labs,3,Medium
azure_nat,3,Medium
azure_service_endpoint_policies,3,Medium
azure_entra_identity_risky_signins,4,Medium-Low
azure_operator_5g_core,5,Low
azure_scheduler_job_collections,4,Medium-Low
azure_dns_multistack,4,Medium-Low
azure_defender_historian,5,Low
azure_extendedsecurityupdates,4,Medium-Low
azure_ceres,5,Low
azure_landing_zone,2,Medium-High
azure_activity_log,3,Medium
azure_fiji,5,Low
azure_data_factories,1,High
azure_local_network_gateways,3,Medium
azure_resource_mover,4,Medium-Low
azure_workbook,3,Medium
azure_azurite,4,Medium-Low
azure_browser,5,Low
azure_cubes,5,Low
azure_defender_industrial_scale_system,5,Low
azure_multi_factor_authentication,2,Medium-High
azure_subnet,2,Medium-High
azure_qna_makers,3,Medium
azure_change_analysis,4,Medium-Low
azure_vm_app_definitions,4,Medium-Low
azure_controls_horizontal,5,Low
azure_translator_text,3,Medium
azure_devops_starter,3,Medium
azure_firewall_policy,2,Medium-High
azure_device_configuration,4,Medium-Low
azure_custom_ip_prefix,4,Medium-Low
azure_entra_domain_services,2,Medium-High
azure_diagnostics_settings,3,Medium
azure_defender_external_management,5,Low
azure_automanaged_vm,4,Medium-Low
azure_app_registrations,2,Medium-High
azure_data_lake_store_gen1,2,Medium-High
azure_load_testing,3,Medium
azure_monitor_pipeline,3,Medium
azure_blockchain_service,4,Medium-Low
azure_sql_managed_instance,1,High
azure_entra_connect_sync,3,Medium
azure_managed_instance_apache_cassandra,3,Medium
azure_aks_automatic,2,Medium-High
azure_content_safety,3,Medium
azure_virtual_machine,1,High
azure_device_compliance,4,Medium-Low
azure_compliance,3,Medium
azure_workspaces,3,Medium
azure_custom_vision,3,Medium
azure_log_analytics_workspaces,2,Medium-High
azure_event_hub_clusters,2,Medium-High
azure_hcp_cache,4,Medium-Low
azure_managed_devops_pools,3,Medium
azure_netapp_files,2,Medium-High
azure_consumption_commitment,4,Medium-Low
azure_openai,1,High
azure_arc_kubernetes,2,Medium-High
azure_network_function_manager_functions,4,Medium-Low
azure_policy,2,Medium-High
azure_stack_hci_sizer,4,Medium-Low
azure_table,2,Medium-High
azure_icm_troubleshooting,5,Low
azure_managed_desktop,3,Medium
azure_front_door_and_cdn_profiles,2,Medium-High
